name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
제주평화박물관,0.47371759999999996,0.44,0.44,0.5586878,0.44,0.4760297,0.44,0.541682,4.3
제주항공우주박물관,0.45300000000000007,0.7778006399999999,0.45300000000000007,0.47745696000000004,0.4998835200000001,0.4773763200000001,0.5276092800000001,0.4775721600000001,4.3
제주항일기념관,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,3.0
조랑말체험공원,0.6226649000000001,0.4515293,0.41000000000000003,0.4965929,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.6376334,4.0
조안베어뮤지엄,0.41966666666666674,0.41966666666666674,0.6608666666666667,1.571,0.66044,0.41966666666666674,0.6383333333333333,1.109133333333333,4.2
중문마린파크퍼시픽랜드,0.5288237333333333,0.7106949333333333,0.5324693333333334,0.43833333333333335,0.43833333333333335,0.43833333333333335,0.4914605333333333,0.43833333333333335,4.2
중문색달해변,0.5681135555555555,0.46611111111111114,0.5580615555555555,0.5193002222222223,0.5782386666666667,0.5054293333333333,0.46611111111111114,0.6156575555555556,4.2
지니어스로사이,0.5091936,0.465,0.465,0.9264516,0.465,0.556611,0.465,0.701898,4.5
천아계곡,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
천지연폭포,0.7354548192000001,0.6815727571200001,0.72060196272,0.7262249832000001,0.71097007584,0.77142103872,0.6756335808,0.76648285008,4.2
초콜릿랜드,0.23000000000000004,0.23729540000000005,0.2685407,0.25417490000000004,0.23812610000000003,0.23730710000000005,0.2611454,0.25283120000000003,2.2
초콜릿박물관,0.34500000000000003,0.34500000000000003,0.5919408,0.4283808,0.34500000000000003,0.34500000000000003,0.39053760000000004,0.34500000000000003,3.4
카멜리아힐,0.6501732437500001,0.55297661875,0.46827221875,0.48181766875000004,0.4842676375,0.4971365125,0.4525,0.51313193125,4.1
카페글렌코,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,0.4005,4.0
코코몽에코파크,0.522316,0.6294868,0.526936,0.415,0.415,0.415,0.415,0.415,4.1
테디베어박물관제주,0.5083333333333333,0.6214950255144032,0.5266768395061727,0.5591148839506173,0.5224097514403292,0.5261555687242797,0.5323004115226337,0.5487202304526748,3.7
테마파크프시케월드,0.385,0.5211808,0.536956,0.8220351999999999,0.385,0.385,0.385,0.8052351999999999,3.8
테지움제주,0.40750000000000003,0.4622155,0.40750000000000003,0.465263125,0.40750000000000003,0.40750000000000003,0.46719362500000006,0.43564075,3.9
트릭아이미술관,0.4045,0.8007933333333332,0.4045,0.4045,0.4045,0.683411111111111,0.4045,0.4045,4.0
파크써던랜드,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,0.30050000000000004,3.0
표선해비치해변,0.4646370666666667,0.46234186666666666,0.5064927999999999,0.4654173333333333,0.4673578666666667,0.6365895999999999,0.4216666666666667,0.5989239999999999,4.1
피규어뮤지엄제주,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,4.6
한담공원,0.6443892999999998,0.46,0.5116078000000001,0.6561769,0.5114938,0.5987550999999999,0.46,0.7630975,4.5
한담해안산책로,0.505,0.505,0.505,0.6300207999999999,0.505,0.505,0.505,0.505,5.0
